wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
1	22	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51002M	1	3	-	-	-	1	1	1	1	-	3	1	-	-	-	-	-
1	22	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51006R	1	-	-	-	-	-	1	0	0	0	1	1	-	-	-	-	-
1	22	51007S	1	-	-	1	1	1	1	1	1	1	1	1	-	-	-	1	-
1	22	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51009V	1	-	-	-	3	2	1	-	-	-	-	2	2	-	-	-	-
1	22	51010W	1	-	1	-	1	1	0	1	1	1	1	0	-	0	1	1	-
1	22	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51014A	8	-	-	-	2	1	0	1	1	1	0	0	1	1	-	-	-
1	22	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51023K	9	-	1	-	6	2	4	0	1	1	0	1	-	-	-	1	1
1	22	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51026N	9	1	-	-	-	1	5	0	1	1	5	5	5	1	1	-	6
1	22	51027P	9	-	-	-	-	1	0	0	1	0	0	0	1	-	-	-	-
1	22	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51029R	16	-	-	-	-	-	1	1	1	1	1	1	-	1	-	-	-
1	22	51030S	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
1	22	51031T	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51034X	16	-	1	1	-	1	0	1	1	1	1	0	0	-	1	-	-
1	22	51035Y	16	-	-	1	-	1	1	1	1	1	1	1	1	1	-	-	5
1	22	51036Z	16	1	-	-	-	-	5	2	1	1	1	1	2	-	-	-	-
1	22	51037A	16	-	1	1	1	1	1	1	1	1	1	1	1	1	-	2	1
1	22	51038B	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
